3;"Firsthealth Moore Regional Hospital";"155 Memorial Dr";"Pinehurst";"NC"
4;"Firsthealth Richmond Memorial Hospital";"925 S Long Dr";"Rockingham";"NC"
5;"Arkansas Heart Hospital";"1701 S Shackleford Rd";"Little Rock";"AR"
6;"Baptist Health Medical Center - Arkadelphia";"3050 Twin Rivers Dr";"Arkadelphia";"AR"
7;"White River Medical Center";"1710 Harrison St";"Batesville";"AR"
8;"Saline Memorial Hospital";"1 Medical Park Dr";"Benton";"AR"
9;"Booneville Community Hospital";"880 W Main St";"Booneville";"AR"
10;"Ouachita County Medical Center";"638 California Ave SW";"Camden";"AR"
11;"Johnson Regional Medical Center";"1100 E Poplar St";"Clarksville";"AR"
12;"Baptist Health Medical Center - Heber Springs";"1800 Bypass Rd";"Heber Springs";"AR"
13;"Conway Regional Medical Center";"2302 College Ave";"Conway";"AR"
14;"Chambers Memorial Hospital";"719 Detroit Ave";"Danville";"AR"
15;"River Valley Medical Center";"200 N 3rd St";"Dardanelle";"AR"
16;"Sparks Regional Medical Center";"1001 Towson Ave";"Fort Smith";"AR"
17;"Mercy Hospital Hot Springs";"300 Werner St";"Hot Springs";"AR"
18;"North Metro Medical Center";"1400 Braden St";"Jacksonville";"AR"
19;"NEA Baptist Memorial Hospital";"3024 Stadium Blvd";"Jonesboro";"AR"
20;"Baptist Health Medical Center - Little Rock";"9601 Interstate 630 Exit 7";"Little Rock";"AR"
21;"Saint Vincent Infirmary Medical Center";"2 Saint Vincent Cir";"Little Rock";"AR"
24;"University of Arkansas for Medical Sciences (Uams) Medical Center";"4301 W Markham St";"Little Rock";"AR"
25;"Magnolia Hospital";"101 Hospital Dr";"Magnolia";"AR"
26;"Hot Spring County Medical Center";"1001 Schneider Dr";"Malvern";"AR"
27;"Saint Vincent Morrilton";"4 Hospital Dr";"Morrilton";"AR"
28;"Baxter Regional Medical Center";"624 Hospital Dr";"Mountain Home";"AR"
29;"Harris Hospital";"1205 McLain St";"Newport";"AR"
30;"Baptist Health Medical Center - North Little Rock";"3333 Springhill Dr";"North Little Rock";"AR"
31;"Jefferson Regional Medical Center";"1600 W 40th Ave";"Pine Bluff";"AR"
32;"Saint Mary's Regional Medical Center";"1808 W Main St";"Russellville";"AR"
33;"White County Medical Center North";"3214 E Race Ave";"Searcy";"AR"
35;"Siloam Springs Regional Hospital";"603 North Progress Ave";"Siloam Springs";"AR"
36;"Northwest Medical Center - Springdale";"609 W Maple Ave";"Springdale";"AR"
37;"Baptist Health Medical Center - Stuttgart";"1703 N Buerkle St";"Stuttgart";"AR"
38;"Lawrence Memorial Hospital";"1309 W Main St";"Walnut Ridge";"AR"
39;"Summit Medical Center";"East Main & S";"Van Buren";"AR"
40;"Ozarks Community Hospital of Gravette";"1101 Jackson St SW";"Gravette";"AR"
41;"National Park Medical Center";"1910 Malvern Ave";"Hot Springs";"AR"
42;"Mena Regional Health System";"311 Morrow St N";"Mena";"AR"
46;"Northwest Medical Center - Bentonville";"3000 Medical Center Pkwy";"Bentonville";"AR"
47;"Saint Vincent Medical Center North";"2215 Wildwood Ave";"Sherwood";"AR"
48;"Mercy Hospital Fort Smith";"7301 Rogers Ave";"Fort Smith";"AR"
49;"Willow Creek Women's Hospital";"4301 Greathouse Spgs Rd";"Johnson";"AR"
50;"Albany Medical Center - South Clinical Campus";"25 Hackett Blvd";"Albany";"NY"
51;"Saint Peter's Hospital";"315 S Manning Blvd";"Albany";"NY"
53;"Saint Mary's Hospital at  Amsterdam";"427 Guy Park Ave";"Amsterdam";"NY"
54;"United Memorial Medical Center";"127 North St";"Batavia";"NY"
55;"Elizabethtown Community Hospital";"75 Park St";"Elizabethtown";"NY"
56;"Glens Falls Hospital";"100 Park St";"Glens Falls";"NY"
57;"Cayuga Medical Center at Ithaca";"101 Dates Dr";"Ithaca";"NY"
58;"Little Falls Hospital";"170 Burwell St";"Little Falls";"NY"
59;"Medina Memorial Hospital";"200 Ohio St";"Medina";"NY"
60;"Champlain Valley Physicians Hospital Medical Center";"75 Beekman St";"Plattsburgh";"NY"
61;"Rome Memorial Hospital";"1500 N James St";"Rome";"NY"
62;"Saratoga  Hospital";"211 Church St";"Saratoga Springs";"NY"
63;"Bellevue Woman's Care Center";"2210 Troy Schenectady Rd";"Niskayuna";"NY"
64;"Ellis Hospital";"1101 Nott St";"Schenectady";"NY"
66;"Saint Mary's Hospital";"1300 Massachusetts Ave";"Troy";"NY"
67;"Samaritan Hospital";"2215 Burdett Ave";"Troy";"NY"
69;"Saint Elizabeth Medical Center";"2209 Genesee St";"Utica";"NY"
70;"Henderson Hospital";"1621 Front St";"Henderson";"NE"
71;"Columbia Memorial Hospital";"71 Prospect Ave";"Hudson";"NY"
72;"Bryan Medical Center West";"2300 S 16th St";"Lincoln";"NE"
73;"Tilden Community Hospital";"308 W 2nd St";"Tilden";"NE"
74;"Boys Town National Research Hospital-Downtown";"555 N 30th St";"Omaha";"NE"
75;"Mercy Hospital-Corning";"603 Rosary Dr";"Corning";"IA"
76;"Kearney County Hospital";"727 E 1st St";"Minden";"NE"
77;"Kossuth Regional Health Center";"1515 S Phillips St";"Algona";"IA"
78;"Cass County Memorial Hospital";"1501 E 10th St";"Atlantic";"IA"
79;"Iowa Specialty Hospital-Belmond";"403 1st St SE";"Belmond";"IA"
80;"Hancock County Memorial Hospital and Health Services";"532 1st St NW";"Britt";"IA"
81;"Saint Anthony Regional Hospital";"311 S Clark St";"Carroll";"IA"
82;"Clarinda Regional Health Center";"220 Essie Davison Dr";"Clarinda";"IA"
84;"Iowa Specialty Hospital-Clarion";"1316 S Main St";"Clarion";"IA"
85;"Geisinger Wyoming Valley Medical Center";"1000 E Mountain Dr";"Wilkes Barre";"PA"
86;"Jennie Edmundson Hospital";"933 E Pierce St";"Council Bluffs";"IA"
87;"Mercy Hospital - Council Bluffs";"800 Mercy Dr";"Council Bluffs";"IA"
88;"Trinity Regional Medical Center";"802 Kenyon Rd";"Fort Dodge";"IA"
89;"Grape Community Hospital";"2959 United States Highway";"Hamburg";"IA"
90;"Myrtue Medical Center";"1213 Garfield Ave";"Harlan";"IA"
91;"Humboldt County Memorial Hospital";"1000 15th St N";"Humboldt";"IA"
92;"Greene County Medical Center";"1000 W Lincolnway St";"Jefferson";"IA"
93;"Holy Family Memorial Medical Center";"2300 Western Ave";"Manitowoc";"WI"
94;"Bellin Hospital";"744 S Webster Ave";"Green Bay";"WI"
95;"Stewart Memorial Community Hospital";"1301 W Main St";"Lake City";"IA"
96;"Mercy Medical Center";"500 S Oakwood Rd";"Oshkosh";"WI"
97;"Theda Clark Medical Center";"130 2nd St";"Neenah";"WI"
98;"Aurora Medical Center";"5000 Memorial Dr";"Two Rivers";"WI"
99;"Community Memorial Hospital";"631 N 8th St";"Missouri Valley";"IA"
100;"Aurora Baycare Medical Center";"2845 Greenbrier Rd";"Green Bay";"WI"
101;"Aurora Medical Center";"855 N Westhaven Dr";"Oshkosh";"WI"
102;"Scotland County Memorial Hospital";"450 E Sigler Ave";"Memphis";"MO"
103;"Pocahontas Community Hospital";"606 NW 7th St";"Pocahontas";"IA"
104;"Boone Hospital Center";"1600 E Broadway";"Columbia";"MO"
105;"Women's And Children's Hospital";"404 N Keene St";"Columbia";"MO"
107;"Montgomery County Memorial Hospital";"2301 Eastern Ave";"Red Oak";"IA"
108;"University of Missouri Hospital";"1 Hospital Dr";"Columbia";"MO"
109;"Saint Mary's Health Center";"100 Saint Marys Plz";"Jefferson City";"MO"
110;"Northeast Regional Medical Center";"315 S Osteopathy Ave";"Kirksville";"MO"
111;"Samaritan Hospital";"1205 N Missouri St";"Macon";"MO"
112;"Fitzgibbon Hospital";"2305 S Highway 65";"Marshall";"MO"
113;"Audrain Medical Center";"620 E Monroe St";"Mexico";"MO"
114;"Lake Regional Health System";"54 Hospital Dr";"Osage Beach";"MO"
115;"Phelps County Regional Medical Center";"1000 W 10th St";"Rolla";"MO"
116;"Bothwell Regional Health Center";"601 E 14th St";"Sedalia";"MO"
117;"Loring Hospital";"211 Highland Ave";"Sac City";"IA"
118;"Hermann Area District Hospital";"509 W 18th St";"Hermann";"MO"
119;"Sullivan County Memorial Hospital";"630 W 3rd St";"Milan";"MO"
120;"Putnam County Memorial Hospital";"1926 Oak St";"Unionville";"MO"
121;"Limestone Medical Center";"701 McClintic Dr";"Groesbeck";"TX"
122;"Falls Community Hospital & Clinic";"322 Coleman St";"Marlin";"TX"
123;"Hillcrest Baptist Medical Center";"100 Hillcrest Medical Blvd";"Waco";"TX"
124;"Providence Health Center";"6901 Medical Pkwy";"Waco";"TX"
125;"Parkview Regional Hospital";"600 S Bonham St";"Mexia";"TX"
126;"Shenandoah Medical Center";"300 Pershing Ave";"Shenandoah";"IA"
127;"Van Diest Medical Center";"2350 Hospital Dr";"Webster City";"IA"
128;"Manning Regional Healthcare Center";"410 Main St";"Manning";"IA"
129;"Christus Santa Rosa Hospital - New Braunfels";"600 N Union Ave";"New Braunfels";"TX"
130;"Boone County Health Center";"723 W Fairview St";"Albion";"NE"
131;"Harlan County Health System";"717 Brown St";"Alma";"NE"
132;"West Holt Memorial Hospital";"406 W Neely St";"Atkinson";"NE"
133;"Connally Memorial Medical Center";"499 10th St";"Floresville";"TX"
134;"Nemaha County Hospital";"2022 13th St";"Auburn";"NE"
136;"Beatrice Community Hospital";"4800 Hosp Pkwy";"Beatrice";"NE"
137;"Memorial Hospital";"1423 7th St";"Aurora";"NE"
138;"Litzenberg Memorial County Hospital";"1715 26th St";"Central City";"NE"
139;"Memorial Community Hospital";"810 N 22nd St";"Blair";"NE"
140;"Avera Creighton Hospital";"1503 Main St";"Creighton";"NE"
141;"Crete Area Medical Center";"2910 Betten Dr";"Crete";"NE"
142;"Butler County Health Care Center";"372 S 9th St";"David City";"NE"
143;"Jefferson Community Health Center";"2200 H St";"Fairbury";"NE"
144;"Community Medical Center";"3307 Barada St";"Falls City";"NE"
145;"Franklin County Memorial Hospital";"1406 Q St";"Franklin";"NE"
146;"Fremont Area Medical Center";"450 E 23rd St";"Fremont";"NE"
147;"Warren Memorial Hospital";"905 2nd St";"Friend";"NE"
148;"Fillmore County Hospital";"1900 F St";"Geneva";"NE"
149;"Saint Francis Medical Center";"2620 W Faidley Ave";"Grand Island";"NE"
150;"Coryell Memorial Hospital";"1507 W Main St";"Gatesville";"TX"
151;"Mary Lanning Memorial Hospital";"715 N Saint Joseph Ave";"Hastings";"NE"
152;"Seton Edgar B. Davis Hospital";"130 Hays St";"Luling";"TX"
153;"Central Texas Medical Center";"1301 Wonder World Dr";"San Marcos";"TX"
154;"Good Samaritan Hospital";"10 E 31st St";"Kearney";"NE"
155;"Thayer County Health Services";"120 Park Ave";"Hebron";"NE"
156;"Phelps Memorial Health Center";"1215 Tibbals St";"Holdrege";"NE"
157;"Bryan Medical Center East";"1600 S 48th St";"Lincoln";"NE"
